EDGE	database	loci	loci_gene_sequential	loci_sequential	details
1142	embplant_pt	psbB	psbB	psbB	psbB(1-442,embplant_pt)
1158	embplant_pt	rps7	rps7	rps7	rps7(82-386,embplant_pt)
1196	embplant_pt	psaA	psaA	psaA	psaA(1-436,embplant_pt)
122	embplant_pt	rps16	rps16	rps16	rps16(23-206,embplant_pt)
1366	embplant_pt	ndhD	ndhD	ndhD	ndhD(4-394,embplant_pt)
138	embplant_pt	rpoC2	rpoC2	rpoC2	rpoC2(2-209,embplant_pt)
1406	embplant_pt	rpoC1	rpoC1	rpoC1	rpoC1(2-273,embplant_pt)
1448	embplant_pt	clpP	clpP	clpP	clpP(122-347,embplant_pt)
1478	embplant_pt	psbH	psbH>>8214	psbH>>8214	psbH(17-238,embplant_pt)>>8214
148	embplant_pt	rps7	rps7	rps7	rps7(1-161,embplant_pt)
1556	embplant_pt	matK	matK	matK	matK(332-1741,embplant_pt)
1560	embplant_pt	petD	petD>>8214	petD>>8214	petD(1-766,embplant_pt)>>8214
1624	embplant_pt	petA	petA	petA	petA(1-781,embplant_pt)
1648	embplant_pt	psaB,rps14	psaB>>rps14	psaB>>rps14	psaB(1-281,embplant_pt)>>rps14(422-724,embplant_pt)
1660	embplant_pt	rpl22	rpl22	rpl22	rpl22(28-323,embplant_pt)
1798	embplant_pt	rpl14,rpl16	rpl14>>rpl16	rpl14>>rpl16	rpl14(1-152,embplant_pt)>>rpl16(309-650,embplant_pt)
1826	embplant_pt	atpI	atpI	atpI	atpI(99-842,embplant_pt)
2028	embplant_pt	ycf4	ycf4	ycf4	ycf4(15-251,embplant_pt)
2072	embplant_pt	psbA	psbA>>8678	psbA>>8678	psbA(1-85,embplant_pt)>>8678
2104	embplant_pt	psbB	psbB	psbB	psbB(399-1088,embplant_pt)
2122	embplant_pt	ycf3	ycf3	ycf3	ycf3(1-219,embplant_pt)
2152	embplant_pt	ndhC	ndhC	ndhC	ndhC(159-354,embplant_pt)
