EDGE	database	loci	loci_gene_sequential	loci_sequential	details
1036	embplant_pt	atpI	atpI	atpI	atpI(99-842,embplant_pt)
1130	embplant_pt	clpP	clpP	clpP	clpP(1-399,embplant_pt)
12796	embplant_pt	rps7	rps7	rps7	rps7(1-161,embplant_pt)
12910	embplant_pt	petD	petD	petD	petD(58-1254,embplant_pt)
13292	embplant_pt	ndhJ,ndhK	ndhJ>>ndhK	ndhJ>>ndhK	ndhJ(587-1065,embplant_pt)>>ndhK(1169-1587,embplant_pt)
13350	embplant_pt	ndhH,rps15	rps15>>ndhH	rps15>>ndhH	rps15(1-174,embplant_pt)>>ndhH(267-335,embplant_pt)
13378	embplant_pt	psaA,psaB	psaA>>psaB	psaA>>psaB	psaA(1-90,embplant_pt)>>psaB(116-330,embplant_pt)
13392	embplant_pt	ycf1	ycf1	ycf1	ycf1(279-365,embplant_pt)
13456	embplant_pt	ycf1	ycf1	ycf1	ycf1(4-299,embplant_pt)
13460	embplant_pt	cemA	cemA	cemA	cemA(165-901,embplant_pt)
13556	embplant_pt	rps7	rps7	rps7	rps7(1-305,embplant_pt)
13564	embplant_pt	rpl14,rpl16	rpl14>>rpl16	rpl14>>rpl16	rpl14(1-152,embplant_pt)>>rpl16(309-650,embplant_pt)
13566	embplant_pt	matK	matK	matK	matK(332-1741,embplant_pt)
13598	embplant_pt	clpP	clpP	clpP	clpP(122-347,embplant_pt)
13716	embplant_pt	psaA,ycf3	psaA>>ycf3	psaA>>ycf3	psaA(1-436,embplant_pt)>>ycf3(1150-1385,embplant_pt)
13722	embplant_pt	petN	petN	petN	petN(969-1058,embplant_pt)
13738	embplant_pt	ycf3	ycf3	ycf3	ycf3(134-840,embplant_pt)
13740	embplant_pt	ndhA	ndhA	ndhA	ndhA(25-549,embplant_pt)
13742	embplant_pt	rpl22	rpl22	rpl22	rpl22(7-302,embplant_pt)
13758	embplant_pt	ccsA	ccsA	ccsA	ccsA(110-1030,embplant_pt)
13768	embplant_pt	ndhA,ndhI	ndhA>>ndhI	ndhA>>ndhI	ndhA(54-1145,embplant_pt)>>ndhI(1220-1700,embplant_pt)
13778	embplant_pt	psbC,psbD,psbZ	psbD>>psbC>>psbZ	psbD>>psbC>>psbZ	psbD(1-291,embplant_pt)>>psbC(239-1660,embplant_pt)>>psbZ(2354-2542,embplant_pt)
13822	embplant_pt	ycf1	ycf1	ycf1	ycf1(33-703,embplant_pt)
13834	embplant_pt	rpoC1	rpoC1	rpoC1	rpoC1(2-273,embplant_pt)
13868	embplant_pt	atpB,atpE	atpE>>atpB	atpE>>atpB	atpE(213-610,embplant_pt)>>atpB(607-1248,embplant_pt)
13874	embplant_pt	ndhC,ndhK	ndhC>>ndhK	ndhC>>ndhK	ndhC(1-182,embplant_pt)>>ndhK(152-502,embplant_pt)
13944	embplant_pt	psbB	psbB	psbB	psbB(399-1513,embplant_pt)
13954	embplant_pt	rps16	rps16	rps16	rps16(1-295,embplant_pt)
13978	embplant_pt	petA	petA	petA	petA(410-1372,embplant_pt)
13980	embplant_pt	atpH	atpH	atpH	atpH(327-572,embplant_pt)
13988	embplant_pt	psaI,ycf4	psaI>>ycf4	psaI>>ycf4	psaI(94-204,embplant_pt)>>ycf4(624-764,embplant_pt)
13994	embplant_pt	ndhE,ndhG,psaC	ndhG>>ndhE>>psaC	ndhG>>ndhE>>psaC	ndhG(1-474,embplant_pt)>>ndhE(712-1014,embplant_pt)>>psaC(1282-1527,embplant_pt)
14012	embplant_pt	petG,psaJ,rpl33,rps18	rps18>>rpl33>>psaJ>>petG	rps18>>rpl33>>psaJ>>petG	rps18(175-480,embplant_pt)>>rpl33(652-852,embplant_pt)>>psaJ(1294-1428,embplant_pt)>>petG(2258-2371,embplant_pt)
14014	embplant_pt	rbcL	rbcL	rbcL	rbcL(63-1490,embplant_pt)
14018	embplant_pt	rps16	rps16	rps16	rps16(509-713,embplant_pt)
14056	embplant_pt	rps12_2	rps12_2	rps12_2	rps12_2(338-548,embplant_pt)
14122	embplant_pt	psbI,psbK	psbI>>psbK	psbI>>psbK	psbI(1646-1756,embplant_pt)>>psbK(2177-2362,embplant_pt)
14158	embplant_pt	psbE,psbF,psbJ,psbL	psbE>>psbF>>psbL>>psbJ	psbE>>psbF>>psbL>>psbJ	psbE(119-370,embplant_pt)>>psbF(380-499,embplant_pt)>>psbL(522-638,embplant_pt)>>psbJ(779-901,embplant_pt)
14170	embplant_pt	psbM	psbM	psbM	psbM(432-528,embplant_pt)
14176	embplant_pt	petB,petD	petB>>petD	petB>>petD	petB(1-1154,embplant_pt)>>petD(1357-1465,embplant_pt)
14186	embplant_pt	psbA	psbA	psbA	psbA(56-1117,embplant_pt)
1724	embplant_pt	ndhD	ndhD	ndhD	ndhD(4-394,embplant_pt)
1862	embplant_pt	ndhF	ndhF	ndhF	ndhF(1-267,embplant_pt)
1900	embplant_pt	psbT	psbT	psbT	psbT(12-90,embplant_pt)
1984	embplant_pt	atpA	atpA	atpA	atpA(157-675,embplant_pt)
2022	embplant_pt	psaB	psaB	psaB	psaB(1-453,embplant_pt)
2126	embplant_pt	ycf2	ycf2	ycf2	ycf2(1-170,embplant_pt)
2554	embplant_pt	psbB	psbB	psbB	psbB(1-297,embplant_pt)
3226	embplant_pt	psbM	psbM	psbM	psbM(87-158,embplant_pt)
3736	embplant_pt	ndhC	ndhC	ndhC	ndhC(159-354,embplant_pt)
3804	embplant_pt	ndhD	ndhD	ndhD	ndhD(3-296,embplant_pt)
3862	embplant_pt	psbD	psbD	psbD	psbD(1-385,embplant_pt)
396	embplant_pt	psaA	psaA	psaA	psaA(3-279,embplant_pt)
522	embplant_pt	psaB,rps14	psaB>>rps14	psaB>>rps14	psaB(1-281,embplant_pt)>>rps14(422-724,embplant_pt)
