EDGE	database	loci	loci_gene_sequential	loci_sequential	details
12188	embplant_pt	rps7	rps7	rps7	rps7(145-305,embplant_pt)
12422	embplant_pt	petD	petD	petD	petD(58-1254,embplant_pt)
12546	embplant_pt	rpoC1	rpoC1	rpoC1	rpoC1(24-295,embplant_pt)
12584	embplant_pt	ndhE,ndhG,psaC	psaC>>ndhE>>ndhG	psaC>>ndhE>>ndhG	psaC(160-405,embplant_pt)>>ndhE(673-975,embplant_pt)>>ndhG(1213-1686,embplant_pt)
12772	embplant_pt	ndhJ,ndhK	ndhJ>>ndhK	ndhJ>>ndhK	ndhJ(587-1065,embplant_pt)>>ndhK(1169-1587,embplant_pt)
1278	embplant_pt	psaA	psaA	psaA	psaA(3-279,embplant_pt)
12806	embplant_pt	psbB	psbB	psbB	psbB(2-1116,embplant_pt)
12816	embplant_pt	rps12_2	rps12_2	rps12_2	rps12_2(1-211,embplant_pt)
12824	embplant_pt	ndhH,rps15	rps15>>ndhH	rps15>>ndhH	rps15(1-174,embplant_pt)>>ndhH(267-335,embplant_pt)
12864	embplant_pt	ycf1	ycf1	ycf1	ycf1(279-365,embplant_pt)
12876	embplant_pt	psaA,psaB	psaA>>psaB	psaA>>psaB	psaA(1-90,embplant_pt)>>psaB(116-330,embplant_pt)
12886	embplant_pt	ndhC,ndhK	ndhC>>ndhK	ndhC>>ndhK	ndhC(1-182,embplant_pt)>>ndhK(152-502,embplant_pt)
12904	embplant_pt	psbE,psbF,psbJ,psbL	psbE>>psbF>>psbL>>psbJ	psbE>>psbF>>psbL>>psbJ	psbE(119-370,embplant_pt)>>psbF(380-499,embplant_pt)>>psbL(522-638,embplant_pt)>>psbJ(779-901,embplant_pt)
12910	embplant_pt	rbcL	rbcL	rbcL	rbcL(168-1595,embplant_pt)
12914	embplant_pt	atpH	atpH	atpH	atpH(327-572,embplant_pt)
12932	embplant_pt	ycf1	ycf1	ycf1	ycf1(5-300,embplant_pt)
12942	embplant_pt	cemA	cemA	cemA	cemA(165-901,embplant_pt)
13016	embplant_pt	rps7	rps7	rps7	rps7(1-305,embplant_pt)
