EDGE	database	loci	loci_gene_sequential	loci_sequential	details
12290	embplant_pt	rps7	rps7	rps7	rps7(1-161,embplant_pt)
12352	embplant_pt	petB,psbH	psbH>>petB	psbH>>petB	psbH(17-238,embplant_pt)>>petB(363-440,embplant_pt)
12506	embplant_pt	petD	petD	petD	petD(58-1254,embplant_pt)
1286	embplant_pt	psaB	psaB	psaB	psaB(1-453,embplant_pt)
12948	embplant_pt	ndhJ,ndhK	ndhJ>>ndhK	ndhJ>>ndhK	ndhJ(587-1065,embplant_pt)>>ndhK(1169-1587,embplant_pt)
12980	embplant_pt	psbB	psbB	psbB	psbB(399-1513,embplant_pt)
12988	embplant_pt	ndhH,rps15	rps15>>ndhH	rps15>>ndhH	rps15(1-174,embplant_pt)>>ndhH(267-335,embplant_pt)
13014	embplant_pt	ycf1	ycf1	ycf1	ycf1(279-365,embplant_pt)
13028	embplant_pt	psaA,psaB	psaA>>psaB	psaA>>psaB	psaA(1-90,embplant_pt)>>psaB(116-330,embplant_pt)
13044	embplant_pt	ndhC,ndhK	ndhK>>ndhC	ndhK>>ndhC	ndhK(3-353,embplant_pt)>>ndhC(323-504,embplant_pt)
13048	embplant_pt	rbcL	rbcL	rbcL	rbcL(168-1595,embplant_pt)
13072	embplant_pt	atpH	atpH	atpH	atpH(396-641,embplant_pt)
13082	embplant_pt	ycf1	ycf1	ycf1	ycf1(5-300,embplant_pt)
13106	embplant_pt	cemA	cemA	cemA	cemA(165-901,embplant_pt)
13192	embplant_pt	rps7	rps7	rps7	rps7(1-305,embplant_pt)
13202	embplant_pt	matK	matK	matK	matK(546-1955,embplant_pt)
13206	embplant_pt	rpl14,rpl16	rpl14>>rpl16	rpl14>>rpl16	rpl14(1-152,embplant_pt)>>rpl16(309-650,embplant_pt)
13230	embplant_pt	psaI,ycf4	ycf4>>psaI	ycf4>>psaI	ycf4(3-143,embplant_pt)>>psaI(563-673,embplant_pt)
13240	embplant_pt	clpP	clpP	clpP	clpP(36-261,embplant_pt)
13274	embplant_pt	rps16	rps16	rps16	rps16(509-713,embplant_pt)
13350	embplant_pt	psaA,ycf3	psaA>>ycf3	psaA>>ycf3	psaA(1-436,embplant_pt)>>ycf3(1150-1385,embplant_pt)
13358	embplant_pt	petN	petN	petN	petN(339-428,embplant_pt)
13372	embplant_pt	ndhA	ndhA	ndhA	ndhA(25-549,embplant_pt)
13374	embplant_pt	rpl22	rpl22	rpl22	rpl22(7-302,embplant_pt)
13376	embplant_pt	petG,psaJ,rpl33,rps18	rps18>>rpl33>>psaJ>>petG	rps18>>rpl33>>psaJ>>petG	rps18(175-480,embplant_pt)>>rpl33(652-852,embplant_pt)>>psaJ(1294-1428,embplant_pt)>>petG(2258-2371,embplant_pt)
13380	embplant_pt	ycf3	ycf3	ycf3	ycf3(3-709,embplant_pt)
13392	embplant_pt	ccsA	ccsA	ccsA	ccsA(1-921,embplant_pt)
13400	embplant_pt	ndhA,ndhI	ndhI>>ndhA	ndhI>>ndhA	ndhI(122-602,embplant_pt)>>ndhA(677-1768,embplant_pt)
13410	embplant_pt	psbC,psbD,psbZ	psbD>>psbC>>psbZ	psbD>>psbC>>psbZ	psbD(1-291,embplant_pt)>>psbC(239-1660,embplant_pt)>>psbZ(2354-2542,embplant_pt)
13446	embplant_pt	psbE,psbF,psbJ,psbL	psbJ>>psbL>>psbF>>psbE	psbJ>>psbL>>psbF>>psbE	psbJ(48-170,embplant_pt)>>psbL(311-427,embplant_pt)>>psbF(450-569,embplant_pt)>>psbE(579-830,embplant_pt)
13450	embplant_pt	ycf1	ycf1	ycf1	ycf1(2-672,embplant_pt)
13466	embplant_pt	rpoC1	rpoC1	rpoC1	rpoC1(24-295,embplant_pt)
13488	embplant_pt	atpB,atpE	atpE>>atpB	atpE>>atpB	atpE(213-610,embplant_pt)>>atpB(607-1248,embplant_pt)
13494	embplant_pt	ndhE,ndhG,psaC	ndhG>>ndhE>>psaC	ndhG>>ndhE>>psaC	ndhG(1-474,embplant_pt)>>ndhE(712-1014,embplant_pt)>>psaC(1282-1527,embplant_pt)
13524	embplant_pt	petA	petA	petA	petA(410-1372,embplant_pt)
13552	embplant_pt	rps12_2	rps12_2	rps12_2	rps12_2(1-211,embplant_pt)
13590	embplant_pt	psbI,psbK	psbK>>psbI	psbK>>psbI	psbK(148-333,embplant_pt)>>psbI(754-864,embplant_pt)
13618	embplant_pt	psbM	psbM	psbM	psbM(137-233,embplant_pt)
13620	embplant_pt	psbA	psbA	psbA	psbA(117-1178,embplant_pt)
13622	embplant_pt	petB,petD	petD>>petB	petD>>petB	petD(2-110,embplant_pt)>>petB(313-1466,embplant_pt)
1428	embplant_pt	atpI	atpI	atpI	atpI(99-842,embplant_pt)
2096	embplant_pt	rps4	rps4	rps4	rps4(11-279,embplant_pt)
236	embplant_pt	rps16	rps16	rps16	rps16(1-295,embplant_pt)
2384	embplant_pt	psbB	psbB	psbB	psbB(1-297,embplant_pt)
2818	embplant_pt	ndhC	ndhC	ndhC	ndhC(159-354,embplant_pt)
2820	embplant_pt	ndhD	ndhD	ndhD	ndhD(3-296,embplant_pt)
3062	embplant_pt	psbT	psbT	psbT	psbT(12-90,embplant_pt)
3066	embplant_pt	psbD	psbD	psbD	psbD(1-385,embplant_pt)
3182	embplant_pt	atpA	atpA	atpA	atpA(157-675,embplant_pt)
3234	embplant_pt	psbM	psbM	psbM	psbM(87-158,embplant_pt)
3240	embplant_pt	psaB,rps14	psaB>>rps14	psaB>>rps14	psaB(1-281,embplant_pt)>>rps14(422-724,embplant_pt)
3368	embplant_pt	psaA	psaA	psaA	psaA(3-279,embplant_pt)
3394	embplant_pt	ycf2	ycf2	ycf2	ycf2(1-170,embplant_pt)
348	embplant_pt	clpP	clpP	clpP	clpP(1-399,embplant_pt)
3622	embplant_pt	ndhD	ndhD	ndhD	ndhD(4-394,embplant_pt)
856	embplant_pt	rps4	rps4	rps4	rps4(197-416,embplant_pt)
