EDGE	database	loci	loci_gene_sequential	loci_sequential	details
12	embplant_pt	psaA	psaA	psaA	psaA(3-279,embplant_pt)
1304	embplant_pt	psbA	psbA>>4722	psbA>>4722	psbA(1-71,embplant_pt)>>4722
1430	embplant_pt	petD	petD>>17384	petD>>17384	petD(58-843,embplant_pt)>>17384
15872	embplant_pt	ycf3	ycf3>>17376	ycf3>>17376	ycf3(3-418,embplant_pt)>>17376
15918	embplant_pt	rps7	rps7	rps7	rps7(1-161,embplant_pt)
16020	embplant_pt	psbA	psbA>>18430	psbA>>18430	psbA(1-92,embplant_pt)>>18430
16312	embplant_pt	psbA	psbA>>4894	psbA>>4894	psbA(1-71,embplant_pt)>>4894
16360	embplant_pt	psbA	psbA	psbA	psbA(1-89,embplant_pt)
16602	embplant_pt	ndhH,rps15	rps15>>ndhH	rps15>>ndhH	rps15(1-174,embplant_pt)>>ndhH(267-335,embplant_pt)
16632	embplant_pt	psaA,psaB	psaA>>psaB	psaA>>psaB	psaA(1-90,embplant_pt)>>psaB(116-330,embplant_pt)
16668	embplant_pt	ycf1	ycf1	ycf1	ycf1(5-300,embplant_pt)
16738	embplant_pt	psbA	psbA>>17130	psbA>>17130	psbA(1-84,embplant_pt)>>17130
16762	embplant_pt	rps7	rps7	rps7	rps7(82-386,embplant_pt)
16772	embplant_pt	matK	matK	matK	matK(546-1955,embplant_pt)
16798	embplant_pt	clpP	clpP	clpP	clpP(122-347,embplant_pt)
16866	embplant_pt	psbA	psbA>>18768	psbA>>18768	psbA(1-78,embplant_pt)>>18768
16924	embplant_pt	rpl22	rpl22	rpl22	rpl22(7-302,embplant_pt)
16930	embplant_pt	ndhA	ndhA	ndhA	ndhA(148-672,embplant_pt)
17016	embplant_pt	rpoC1	rpoC1	rpoC1	rpoC1(2-273,embplant_pt)
17042	embplant_pt	psbA	psbA>>36	psbA>>36	psbA(1-110,embplant_pt)>>36
17058	embplant_pt	ndhC,ndhK	ndhK>>ndhC	ndhK>>ndhC	ndhK(3-353,embplant_pt)>>ndhC(323-504,embplant_pt)
17124	embplant_pt	psbB	psbB	psbB	psbB(399-1513,embplant_pt)
17130	embplant_pt	psbA	psbA>>16738	psbA>>16738	psbA(1-112,embplant_pt)>>16738
17134	embplant_pt	psbA	psbA>>18762	psbA>>18762	psbA(1-95,embplant_pt)>>18762
17170	embplant_pt	ycf4	ycf4	ycf4	ycf4(15-251,embplant_pt)
17274	embplant_pt	clpP	clpP	clpP	clpP(1-399,embplant_pt)
17288	embplant_pt	ccsA	ccsA	ccsA	ccsA(1-921,embplant_pt)
17298	embplant_pt	psaB	psaB	psaB	psaB(46-498,embplant_pt)
17316	embplant_pt	petB	petB	petB	petB(1-576,embplant_pt)
17324	embplant_pt	ycf1	ycf1	ycf1	ycf1(2-672,embplant_pt)
17344	embplant_pt	ndhE,ndhG,psaC	psaC>>ndhE>>ndhG	psaC>>ndhE>>ndhG	psaC(160-405,embplant_pt)>>ndhE(673-975,embplant_pt)>>ndhG(1213-1686,embplant_pt)
17352	embplant_pt	cemA	cemA	cemA	cemA(165-901,embplant_pt)
17356	embplant_pt	ndhD	ndhD	ndhD	ndhD(1-232,embplant_pt)
17358	embplant_pt	petB	petB>>17412	petB>>17412	petB(204-846,embplant_pt)>>17412
17376	embplant_pt	ycf3	ycf3	ycf3	ycf3(1-354,embplant_pt)
17382	embplant_pt	rpl14,rpl16	rpl14>>rpl16	rpl14>>rpl16	rpl14(1-152,embplant_pt)>>rpl16(309-650,embplant_pt)
17384	embplant_pt	petD	petD	petD	petD(1-476,embplant_pt)
17406	embplant_pt	psaI,ycf4	psaI>>ycf4	psaI>>ycf4	psaI(94-204,embplant_pt)>>ycf4(624-764,embplant_pt)
17412	embplant_pt	psbH	psbH	psbH	psbH(195-416,embplant_pt)
17418	embplant_pt	rps12_2	rps12_2	rps12_2	rps12_2(1-211,embplant_pt)
17420	embplant_pt	psbA	psbA>>18620	psbA>>18620	psbA(1-80,embplant_pt)>>18620
17422	embplant_pt	psaA,ycf3	psaA>>ycf3>>17376	psaA>>ycf3>>17376	psaA(1-436,embplant_pt)>>ycf3(1150-1304,embplant_pt)>>17376
17424	embplant_pt	rps16	rps16	rps16	rps16(272-476,embplant_pt)
17430	embplant_pt	psbT	psbT	psbT	psbT(12-90,embplant_pt)
17648	embplant_pt	rbcL	rbcL	rbcL	rbcL(63-1490,embplant_pt)
17668	embplant_pt	ndhJ,ndhK	ndhK>>ndhJ	ndhK>>ndhJ	ndhK(1-419,embplant_pt)>>ndhJ(523-1001,embplant_pt)
17680	embplant_pt	petG,psaJ,rpl33,rps18	petG>>psaJ>>rpl33>>rps18	petG>>psaJ>>rpl33>>rps18	petG(219-332,embplant_pt)>>psaJ(1162-1296,embplant_pt)>>rpl33(1738-1938,embplant_pt)>>rps18(2110-2415,embplant_pt)
17686	embplant_pt	petA	petA	petA	petA(88-1050,embplant_pt)
17734	embplant_pt	atpB,atpE	atpB>>atpE	atpB>>atpE	atpB(2-643,embplant_pt)>>atpE(640-1037,embplant_pt)
17750	embplant_pt	psbA	psbA>>17758	psbA>>17758	psbA(4-74,embplant_pt)>>17758
17758	embplant_pt	psbA	psbA>>17764	psbA>>17764	psbA(1-92,embplant_pt)>>17764
17764	embplant_pt	psbA	psbA>>16570	psbA>>16570	psbA(7-95,embplant_pt)>>16570
17792	embplant_pt	ndhA,ndhI	ndhI>>ndhA	ndhI>>ndhA	ndhI(122-602,embplant_pt)>>ndhA(677-1768,embplant_pt)
17824	embplant_pt	petN	petN	petN	petN(339-428,embplant_pt)
17858	embplant_pt	psbI,psbK	psbI>>psbK	psbI>>psbK	psbI(1646-1756,embplant_pt)>>psbK(2177-2362,embplant_pt)
17864	embplant_pt	atpH	atpH	atpH	atpH(396-641,embplant_pt)
17870	embplant_pt	psbC,psbD,psbZ	psbD>>psbC>>psbZ	psbD>>psbC>>psbZ	psbD(1-291,embplant_pt)>>psbC(239-1660,embplant_pt)>>psbZ(2354-2542,embplant_pt)
17876	embplant_pt	psbE,psbF,psbJ,psbL	psbJ>>psbL>>psbF>>psbE	psbJ>>psbL>>psbF>>psbE	psbJ(48-170,embplant_pt)>>psbL(311-427,embplant_pt)>>psbF(450-569,embplant_pt)>>psbE(579-830,embplant_pt)
17882	embplant_pt	psbM	psbM	psbM	psbM(137-233,embplant_pt)
17972	embplant_pt	psbA	psbA>>18092	psbA>>18092	psbA(1-78,embplant_pt)>>18092
18012	embplant_pt	psbA	psbA>>18054	psbA>>18054	psbA(1-70,embplant_pt)>>18054
18020	embplant_pt	psbA	psbA>>18402	psbA>>18402	psbA(3-79,embplant_pt)>>18402
18030	embplant_pt	psbA	psbA>>4272	psbA>>4272	psbA(1-95,embplant_pt)>>4272
18054	embplant_pt	psbA	psbA>>18186	psbA>>18186	psbA(1-71,embplant_pt)>>18186
18062	embplant_pt	psbA	psbA>>18050	psbA>>18050	psbA(4-90,embplant_pt)>>18050
18078	embplant_pt	psbA	psbA>>32	psbA>>32	psbA(1-89,embplant_pt)>>32
18092	embplant_pt	psbA	psbA>>17972	psbA>>17972	psbA(1-73,embplant_pt)>>17972
18164	embplant_pt	psbA	psbA>>18958	psbA>>18958	psbA(1-112,embplant_pt)>>18958
18174	embplant_pt	psbA	psbA>>18966	psbA>>18966	psbA(3-80,embplant_pt)>>18966
18186	embplant_pt	psbA	psbA>>4916	psbA>>4916	psbA(1-106,embplant_pt)>>4916
18224	embplant_pt	psbA	psbA>>18092	psbA>>18092	psbA(1-110,embplant_pt)>>18092
18278	embplant_pt	psbA	psbA>>18284	psbA>>18284	psbA(1-110,embplant_pt)>>18284
18290	embplant_pt	psbA	psbA	psbA	psbA(1-87,embplant_pt)
18306	embplant_pt	psbA	psbA>>3754	psbA>>3754	psbA(1-124,embplant_pt)>>3754
18326	embplant_pt	psbA	psbA>>1066	psbA>>1066	psbA(1-104,embplant_pt)>>1066
18362	embplant_pt	psbA	psbA>>18366	psbA>>18366	psbA(1-110,embplant_pt)>>18366
18368	embplant_pt	psbA	psbA>>17420	psbA>>17420	psbA(1-101,embplant_pt)>>17420
18372	embplant_pt	psbA	psbA>>18664	psbA>>18664	psbA(1-153,embplant_pt)>>18664
18400	embplant_pt	psbA	psbA>>18640	psbA>>18640	psbA(1-108,embplant_pt)>>18640
18404	embplant_pt	psbA	psbA>>18262	psbA>>18262	psbA(1-114,embplant_pt)>>18262
18422	embplant_pt	psbA	psbA>>18402	psbA>>18402	psbA(1-101,embplant_pt)>>18402
