EDGE	database	loci	loci_gene_sequential	loci_sequential	details
1050	embplant_pt	ndhF	ndhF	ndhF	ndhF(1-267,embplant_pt)
1162	embplant_pt	psbB	psbB	psbB	psbB(1-297,embplant_pt)
13154	embplant_pt	rps7	rps7	rps7	rps7(1-161,embplant_pt)
13614	embplant_pt	ndhH,rps15	rps15>>ndhH	rps15>>ndhH	rps15(1-174,embplant_pt)>>ndhH(267-335,embplant_pt)
13652	embplant_pt	ycf1	ycf1	ycf1	ycf1(1-87,embplant_pt)
13656	embplant_pt	psaA,psaB	psaA>>psaB	psaA>>psaB	psaA(1-90,embplant_pt)>>psaB(116-330,embplant_pt)
13706	embplant_pt	cemA	cemA	cemA	cemA(82-818,embplant_pt)
13718	embplant_pt	ycf1	ycf1	ycf1	ycf1(4-299,embplant_pt)
13806	embplant_pt	rps7	rps7	rps7	rps7(1-305,embplant_pt)
13830	embplant_pt	rpl14,rpl16	rpl14>>rpl16	rpl14>>rpl16	rpl14(1-152,embplant_pt)>>rpl16(309-650,embplant_pt)
13834	embplant_pt	matK	matK	matK	matK(332-1741,embplant_pt)
13870	embplant_pt	clpP	clpP	clpP	clpP(36-261,embplant_pt)
13962	embplant_pt	psaA,ycf3	psaA>>ycf3	psaA>>ycf3	psaA(1-436,embplant_pt)>>ycf3(1150-1385,embplant_pt)
13986	embplant_pt	rpl22	rpl22	rpl22	rpl22(28-323,embplant_pt)
13992	embplant_pt	ndhA	ndhA	ndhA	ndhA(148-672,embplant_pt)
13998	embplant_pt	ycf3	ycf3	ycf3	ycf3(134-840,embplant_pt)
14014	embplant_pt	ccsA	ccsA	ccsA	ccsA(110-1030,embplant_pt)
14092	embplant_pt	rpoC1	rpoC1	rpoC1	rpoC1(24-295,embplant_pt)
14120	embplant_pt	ndhC,ndhK	ndhK>>ndhC	ndhK>>ndhC	ndhK(3-353,embplant_pt)>>ndhC(323-504,embplant_pt)
1416	embplant_pt	psaB,rps14	psaB>>rps14	psaB>>rps14	psaB(1-281,embplant_pt)>>rps14(422-724,embplant_pt)
14196	embplant_pt	psbB	psbB	psbB	psbB(399-1513,embplant_pt)
14210	embplant_pt	rps16	rps16	rps16	rps16(40-334,embplant_pt)
14246	embplant_pt	psaI,ycf4	psaI>>ycf4	psaI>>ycf4	psaI(94-204,embplant_pt)>>ycf4(624-764,embplant_pt)
14260	embplant_pt	ndhE,ndhG,psaC	psaC>>ndhE>>ndhG	psaC>>ndhE>>ndhG	psaC(160-405,embplant_pt)>>ndhE(673-975,embplant_pt)>>ndhG(1213-1686,embplant_pt)
14276	embplant_pt	rbcL	rbcL	rbcL	rbcL(63-1490,embplant_pt)
14308	embplant_pt	petA	petA	petA	petA(88-1050,embplant_pt)
14312	embplant_pt	petG,psaJ,rpl33,rps18	petG>>psaJ>>rpl33>>rps18	petG>>psaJ>>rpl33>>rps18	petG(219-332,embplant_pt)>>psaJ(1162-1296,embplant_pt)>>rpl33(1738-1938,embplant_pt)>>rps18(2110-2415,embplant_pt)
14348	embplant_pt	rps12_2	rps12_2	rps12_2	rps12_2(338-548,embplant_pt)
14352	embplant_pt	atpB,atpE	atpB>>atpE	atpB>>atpE	atpB(2-643,embplant_pt)>>atpE(640-1037,embplant_pt)
14354	embplant_pt	ndhJ,ndhK	ndhK>>ndhJ	ndhK>>ndhJ	ndhK(1-419,embplant_pt)>>ndhJ(523-1001,embplant_pt)
14358	embplant_pt	ycf1	ycf1	ycf1	ycf1(33-703,embplant_pt)
1436	embplant_pt	petD	petD>>14396	petD>>14396	petD(58-883,embplant_pt)>>14396
14366	embplant_pt	rps16	rps16	rps16	rps16(272-476,embplant_pt)
14386	embplant_pt	psbC,psbD,psbZ	psbZ>>psbC>>psbD	psbZ>>psbC>>psbD	psbZ(225-413,embplant_pt)>>psbC(1107-2528,embplant_pt)>>psbD(2476-2766,embplant_pt)
14394	embplant_pt	clpP	clpP	clpP	clpP(1-399,embplant_pt)
14396	embplant_pt	petD	petD>>14544	petD>>14544	petD(315-790,embplant_pt)>>14544
14418	embplant_pt	ndhA,ndhI	ndhI>>ndhA	ndhI>>ndhA	ndhI(122-602,embplant_pt)>>ndhA(677-1768,embplant_pt)
14436	embplant_pt	atpH	atpH	atpH	atpH(396-641,embplant_pt)
14460	embplant_pt	petN	petN	petN	petN(339-428,embplant_pt)
14514	embplant_pt	psbE,psbF,psbJ,psbL	psbJ>>psbL>>psbF>>psbE	psbJ>>psbL>>psbF>>psbE	psbJ(48-170,embplant_pt)>>psbL(311-427,embplant_pt)>>psbF(450-569,embplant_pt)>>psbE(579-830,embplant_pt)
14526	embplant_pt	psbI,psbK	psbI>>psbK	psbI>>psbK	psbI(1646-1756,embplant_pt)>>psbK(2177-2362,embplant_pt)
14544	embplant_pt	petB,petD	petB>>petD>>14396	petB>>petD>>14396	petB(1-1154,embplant_pt)>>petD(1357-1461,embplant_pt)>>14396
14550	embplant_pt	psbM	psbM	psbM	psbM(137-233,embplant_pt)
14610	embplant_pt	psbA	psbA	psbA	psbA(56-1117,embplant_pt)
1520	embplant_pt	atpI	atpI	atpI	atpI(99-842,embplant_pt)
1922	embplant_pt	psaB	psaB	psaB	psaB(1-453,embplant_pt)
2026	embplant_pt	psaA	psaA	psaA	psaA(3-279,embplant_pt)
2144	embplant_pt	ndhC	ndhC	ndhC	ndhC(159-354,embplant_pt)
2306	embplant_pt	atpA	atpA	atpA	atpA(157-675,embplant_pt)
270	embplant_pt	ndhD	ndhD	ndhD	ndhD(3-296,embplant_pt)
2998	embplant_pt	ycf2	ycf2	ycf2	ycf2(1-170,embplant_pt)
3422	embplant_pt	psbM	psbM	psbM	psbM(87-158,embplant_pt)
3538	embplant_pt	rps4	rps4	rps4	rps4(11-279,embplant_pt)
3906	embplant_pt	ndhD	ndhD	ndhD	ndhD(4-394,embplant_pt)
3910	embplant_pt	psbD	psbD	psbD	psbD(1-385,embplant_pt)
4282	embplant_pt	psbT	psbT	psbT	psbT(12-90,embplant_pt)
894	embplant_pt	rps4	rps4	rps4	rps4(197-416,embplant_pt)
